timestamp,blocknum,from,to,value,asset,category,contract_address,hash
2022-08-22 16:41:01,15391400,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x0c12522fcda861460bf1bc223eca108144ee5df4,3345.6600000000003,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x137bdaa126e27fc2b6ffe16a53fd594abbaed4fb612e452383b3ad8e5aa7de7e
2022-08-22 16:41:01,15391400,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x8071ed00bf71d8a9a3ff34befbbdff9df6f72e65,640.8,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x99ed78982e3ec2b5e84a1ec8e3be62a9c2febec3345d0520270de941dc83ec5e
2022-08-22 16:41:20,15391401,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x0a251df99a88a20a93876205fb7f5faf2e85a481,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xc14611645af5f044111267a57d7f8285970b8ef2edc6da7453772bddc9a88919
2022-08-22 16:41:48,15391406,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x976cc21852a3f9fc376cd82b46427f31dd1f037d,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x03f48da16999e43816fcfb64a170887a5c68efde4548ed19d2b570a6c13d1103
2022-08-22 16:41:48,15391406,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xe913c0f42fb60f85bd43bdddaf4e004135ef318c,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x6b458de74e632e6586b1827c34b729aa49ea40597426c84ec7496c62bf8238e4
2022-08-22 16:41:56,15391407,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x001f51fda63b0527173c677ced07c925ef55ef68,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xd3268fa2c1257da87412e2b8af340a0f9984d8efa261e8c7bf756a753703877d
2022-08-22 16:42:24,15391409,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x1516721b036567f120e32904ba6405860e3b2681,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xa58fa8459900171ec5e3c6be505e1ff7899a13b55a6ab98a9b251120e36266f0
2022-08-22 16:42:24,15391409,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x04739ece5c449d74e78a14e6a2a4938680f456d6,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xc84c096c4474f74dffa8315f603c1296275c1e4e95e42255154cb17760d6f0f9
2022-08-22 16:43:13,15391410,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x2330443af7fbc42104f816788fd26801b3169e7f,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xe29c22aedc5eb4ca0b21e756370ed711c5bd77efd1f6ff87bd36fd3d1bca4f2f
2022-08-22 16:43:13,15391410,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xceeefbf365dd6c6e3a97410998678f062da69a2d,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x35cb5df0cdef4dd59f416712e248dd461a1958f21c8c562d63c97d38125fd173
